,SubjectID,AssignmentID,ProblemID,Attempts,pProblemSyntaxError,pProblemSemanticError,pSubjectSyntaxError,pSubjectSemanticError,CorrectEventually,Label
43,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,487,22,1,43,43,0.84,0.8,True,True
44,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,487,24,25,44,44,0.84,0.8,True,False
45,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,487,25,5,45,45,0.84,0.8,True,True
46,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,487,28,9,46,46,0.84,0.8,True,False
47,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,487,100,7,47,47,0.84,0.8,True,True
48,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,487,101,16,48,48,0.84,0.8,True,True
49,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,487,102,30,49,49,0.84,0.8,True,False
50,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,492,34,1,50,50,0.84,0.8,False,False
51,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,492,37,9,51,51,0.84,0.8,True,False
52,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,492,38,9,52,52,0.84,0.8,False,False
53,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,492,40,5,53,53,0.84,0.8,False,False
54,0685c8001a43b03e0a155e1afa0c7bec2f4e82d24f7ce4843b25a441c45dd335,492,128,2,54,54,0.84,0.8,False,False
55,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,439,1,1,55,55,0.667,0.467,True,True
56,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,439,3,2,56,56,0.667,0.467,True,True
57,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,439,5,1,57,57,0.667,0.467,True,True
58,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,439,12,2,58,58,0.667,0.467,True,True
59,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,439,13,49,59,59,0.667,0.467,True,False
60,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,439,232,5,60,60,0.667,0.467,True,True
61,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,439,233,10,61,61,0.667,0.467,True,False
62,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,439,234,5,62,62,0.667,0.467,True,False
63,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,439,235,18,63,63,0.667,0.467,True,False
64,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,439,236,3,64,64,0.667,0.467,True,True
65,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,487,17,5,65,65,0.667,0.467,True,False
66,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,487,20,14,66,66,0.667,0.467,True,False
67,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,487,21,11,67,67,0.667,0.467,True,False
68,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,487,22,5,68,68,0.667,0.467,True,False
69,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,487,24,29,69,69,0.667,0.467,True,False
70,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,487,25,8,70,70,0.667,0.467,True,True
71,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,487,28,6,71,71,0.667,0.467,True,True
72,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,487,100,2,72,72,0.667,0.467,True,True
73,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,487,101,31,73,73,0.667,0.467,False,False
74,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,487,102,26,74,74,0.667,0.467,True,False
75,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,492,31,1,75,75,0.667,0.467,True,True
76,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,492,32,1,76,76,0.667,0.467,True,True
77,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,492,33,1,77,77,0.667,0.467,True,True
78,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,492,34,1,78,78,0.667,0.467,True,True
79,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,492,36,1,79,79,0.667,0.467,True,True
80,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,492,37,4,80,80,0.667,0.467,True,True
81,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,492,38,1,81,81,0.667,0.467,True,True
82,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,492,39,1,82,82,0.667,0.467,True,True
83,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,492,40,3,83,83,0.667,0.467,True,True
84,080e819b7f2ec7fdf5df10abc0092a6ae39db49584244ea555a9ce18c8d57c53,492,128,1,84,84,0.667,0.467,True,True
85,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,439,1,4,85,85,0.567,0.5,True,False
86,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,439,3,5,86,86,0.567,0.5,True,True
87,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,439,5,11,87,87,0.567,0.5,True,False
88,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,439,12,6,88,88,0.567,0.5,True,False
89,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,439,13,2,89,89,0.567,0.5,True,True
90,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,439,232,8,90,90,0.567,0.5,True,True
91,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,439,233,1,91,91,0.567,0.5,True,True
92,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,439,234,21,92,92,0.567,0.5,True,False
93,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,439,235,6,93,93,0.567,0.5,True,False
94,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,439,236,3,94,94,0.567,0.5,True,True
95,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,487,17,5,95,95,0.567,0.5,True,False
96,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,487,20,1,96,96,0.567,0.5,True,True
97,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,487,21,1,97,97,0.567,0.5,True,True
98,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,487,22,1,98,98,0.567,0.5,True,True
99,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,487,24,8,99,99,0.567,0.5,True,True
100,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,487,25,4,100,100,0.567,0.5,True,True
101,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,487,28,1,101,101,0.567,0.5,True,True
102,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,487,100,5,102,102,0.567,0.5,True,True
103,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,487,101,3,103,103,0.567,0.5,True,True
104,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,487,102,1,104,104,0.567,0.5,True,True
105,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,492,31,4,105,105,0.567,0.5,True,True
106,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,492,32,12,106,106,0.567,0.5,True,True
107,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,492,33,1,107,107,0.567,0.5,True,True
108,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,492,34,4,108,108,0.567,0.5,True,True
109,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,492,36,2,109,109,0.567,0.5,True,True
110,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,492,37,2,110,110,0.567,0.5,True,True
111,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,492,38,3,111,111,0.567,0.5,True,True
112,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,492,39,5,112,112,0.567,0.5,True,True
113,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,492,40,1,113,113,0.567,0.5,True,True
114,090e9df6cea280094ad11cf71385d27c1badc3396add08ff163af9cab4184ff1,492,128,3,114,114,0.567,0.5,True,True
115,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,439,1,1,115,115,0.7,0.733,True,True
116,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,439,3,2,116,116,0.7,0.733,True,True
117,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,439,5,2,117,117,0.7,0.733,True,True
118,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,439,12,1,118,118,0.7,0.733,True,True
119,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,439,13,4,119,119,0.7,0.733,True,True
120,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,439,232,2,120,120,0.7,0.733,True,True
121,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,439,233,1,121,121,0.7,0.733,True,True
122,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,439,234,2,122,122,0.7,0.733,True,True
123,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,439,235,3,123,123,0.7,0.733,True,True
124,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,439,236,10,124,124,0.7,0.733,True,False
125,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,487,17,3,125,125,0.7,0.733,True,False
126,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,487,20,5,126,126,0.7,0.733,True,True
127,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,487,21,2,127,127,0.7,0.733,True,True
128,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,487,22,13,128,128,0.7,0.733,True,False
129,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,487,24,5,129,129,0.7,0.733,True,True
130,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,487,25,12,130,130,0.7,0.733,True,False
131,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,487,28,12,131,131,0.7,0.733,True,False
132,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,487,100,11,132,132,0.7,0.733,True,False
133,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,487,101,18,133,133,0.7,0.733,True,False
134,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,487,102,44,134,134,0.7,0.733,True,False
135,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,492,31,8,135,135,0.7,0.733,True,False
136,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,492,32,5,136,136,0.7,0.733,True,True
137,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,492,33,13,137,137,0.7,0.733,True,False
138,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,492,34,18,138,138,0.7,0.733,True,False
139,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,492,36,8,139,139,0.7,0.733,True,False
140,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,492,37,11,140,140,0.7,0.733,True,False
141,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,492,38,26,141,141,0.7,0.733,True,False
142,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,492,39,13,142,142,0.7,0.733,True,False
143,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,492,40,41,143,143,0.7,0.733,True,False
144,0ad1e8e19521af38467ce62dbba5cf3531f17875bc11e7aa53e1b8584ca1bc4f,492,128,19,144,144,0.7,0.733,True,False
145,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,439,1,2,145,145,0.8,0.6,True,True
146,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,439,3,2,146,146,0.8,0.6,True,True
147,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,439,5,1,147,147,0.8,0.6,True,True
148,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,439,12,1,148,148,0.8,0.6,True,True
149,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,439,13,8,149,149,0.8,0.6,True,True
150,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,439,232,27,150,150,0.8,0.6,True,False
151,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,439,233,4,151,151,0.8,0.6,True,True
152,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,439,234,3,152,152,0.8,0.6,True,True
153,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,439,235,6,153,153,0.8,0.6,True,False
154,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,439,236,3,154,154,0.8,0.6,True,True
155,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,487,17,6,155,155,0.8,0.6,True,False
156,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,487,20,13,156,156,0.8,0.6,True,False
157,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,487,21,4,157,157,0.8,0.6,True,False
158,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,487,22,16,158,158,0.8,0.6,True,False
159,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,487,24,3,159,159,0.8,0.6,True,True
160,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,487,25,5,160,160,0.8,0.6,True,True
161,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,487,28,14,161,161,0.8,0.6,True,False
162,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,487,100,11,162,162,0.8,0.6,True,False
163,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,487,101,79,163,163,0.8,0.6,True,False
164,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,487,102,16,164,164,0.8,0.6,True,True
165,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,492,31,6,165,165,0.8,0.6,True,False
166,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,492,32,26,166,166,0.8,0.6,True,False
167,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,492,33,4,167,167,0.8,0.6,True,True
168,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,492,34,1,168,168,0.8,0.6,True,True
169,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,492,36,18,169,169,0.8,0.6,True,False
170,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,492,37,13,170,170,0.8,0.6,True,False
171,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,492,38,57,171,171,0.8,0.6,True,False
172,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,492,39,21,172,172,0.8,0.6,True,False
173,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,492,40,16,173,173,0.8,0.6,True,False
174,0c65552abe0d2731c2f0bcde5e3885e7b364b17ae9396a91fbf7d3970ce00378,492,128,24,174,174,0.8,0.6,True,False
175,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,439,1,1,175,175,0.567,0.467,True,True
176,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,439,3,2,176,176,0.567,0.467,True,True
177,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,439,5,1,177,177,0.567,0.467,True,True
178,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,439,12,1,178,178,0.567,0.467,True,True
179,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,439,13,2,179,179,0.567,0.467,True,True
180,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,439,232,3,180,180,0.567,0.467,True,True
181,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,439,233,1,181,181,0.567,0.467,True,True
182,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,439,234,1,182,182,0.567,0.467,True,True
183,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,439,235,2,183,183,0.567,0.467,True,True
184,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,439,236,1,184,184,0.567,0.467,True,True
185,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,487,17,1,185,185,0.567,0.467,True,True
186,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,487,20,6,186,186,0.567,0.467,True,False
187,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,487,21,1,187,187,0.567,0.467,True,True
188,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,487,22,2,188,188,0.567,0.467,True,True
189,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,487,24,5,189,189,0.567,0.467,True,True
190,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,487,25,4,190,190,0.567,0.467,True,True
191,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,487,28,4,191,191,0.567,0.467,True,True
192,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,487,100,2,192,192,0.567,0.467,True,True
193,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,487,101,5,193,193,0.567,0.467,True,True
194,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,487,102,5,194,194,0.567,0.467,False,False
195,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,492,31,3,195,195,0.567,0.467,True,True
196,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,492,32,6,196,196,0.567,0.467,False,False
197,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,492,33,16,197,197,0.567,0.467,True,False
198,0ff8e00eabc873cbfaa0832c3aa0e4a4b03e6f72593a71ecf7e5b2e4d0c82e06,492,34,11,198,198,0.567,0.467,True,True
