,SubjectID,AssignmentID,ProblemID,Attempts,pProblemSyntaxError,CorrectEventually,Label
40,0503bf609757acf2e75aa8cbc0d8323b,487.0,24,9,0.65,True,False
41,0503bf609757acf2e75aa8cbc0d8323b,492.0,31,1,0.409,True,True
42,0503bf609757acf2e75aa8cbc0d8323b,492.0,32,1,0.586,True,True
43,0503bf609757acf2e75aa8cbc0d8323b,492.0,33,1,0.552,True,True
44,0503bf609757acf2e75aa8cbc0d8323b,492.0,34,1,0.563,True,True
45,0503bf609757acf2e75aa8cbc0d8323b,492.0,36,1,0.515,True,True
46,0503bf609757acf2e75aa8cbc0d8323b,492.0,37,3,0.528,True,True
47,0503bf609757acf2e75aa8cbc0d8323b,492.0,38,1,0.591,True,True
48,0503bf609757acf2e75aa8cbc0d8323b,492.0,39,1,0.478,True,True
49,0503bf609757acf2e75aa8cbc0d8323b,492.0,40,11,0.657,True,False
50,0503bf609757acf2e75aa8cbc0d8323b,492.0,128,1,0.509,True,True
51,06d801cb636235b298c40029ad9921e7,439.0,1,2,0.358,True,True
52,06d801cb636235b298c40029ad9921e7,439.0,3,2,0.404,True,True
53,06d801cb636235b298c40029ad9921e7,439.0,5,31,0.412,True,False
54,06d801cb636235b298c40029ad9921e7,439.0,12,1,0.326,True,True
55,06d801cb636235b298c40029ad9921e7,439.0,13,6,0.794,True,True
56,06d801cb636235b298c40029ad9921e7,439.0,232,17,0.688,True,False
57,06d801cb636235b298c40029ad9921e7,439.0,233,1,0.425,True,True
58,06d801cb636235b298c40029ad9921e7,439.0,234,24,0.524,True,False
59,06d801cb636235b298c40029ad9921e7,439.0,235,22,0.379,True,False
60,06d801cb636235b298c40029ad9921e7,439.0,236,10,0.518,True,False
61,06d801cb636235b298c40029ad9921e7,492.0,31,1,0.409,True,True
62,06d801cb636235b298c40029ad9921e7,492.0,32,1,0.586,True,True
63,06d801cb636235b298c40029ad9921e7,492.0,33,1,0.552,True,True
64,06d801cb636235b298c40029ad9921e7,492.0,34,1,0.563,True,True
65,06d801cb636235b298c40029ad9921e7,492.0,36,2,0.515,True,True
66,06d801cb636235b298c40029ad9921e7,492.0,37,11,0.528,True,False
67,06d801cb636235b298c40029ad9921e7,492.0,38,5,0.591,True,True
68,06d801cb636235b298c40029ad9921e7,492.0,39,2,0.478,True,True
69,06d801cb636235b298c40029ad9921e7,492.0,40,7,0.657,True,True
70,06d801cb636235b298c40029ad9921e7,492.0,128,1,0.509,True,True
71,07ae4cca3f90a49347ccb5c1a82ff46f,439.0,1,1,0.358,True,True
72,07ae4cca3f90a49347ccb5c1a82ff46f,439.0,3,3,0.404,True,True
73,07ae4cca3f90a49347ccb5c1a82ff46f,439.0,5,1,0.412,True,True
74,07ae4cca3f90a49347ccb5c1a82ff46f,439.0,12,1,0.326,True,True
75,07ae4cca3f90a49347ccb5c1a82ff46f,439.0,13,10,0.794,True,True
76,07ae4cca3f90a49347ccb5c1a82ff46f,439.0,232,21,0.688,True,False
77,07ae4cca3f90a49347ccb5c1a82ff46f,439.0,233,2,0.425,True,True
78,07ae4cca3f90a49347ccb5c1a82ff46f,439.0,234,1,0.524,True,True
79,07ae4cca3f90a49347ccb5c1a82ff46f,439.0,235,5,0.379,True,False
80,07ae4cca3f90a49347ccb5c1a82ff46f,439.0,236,6,0.518,True,False
81,07ae4cca3f90a49347ccb5c1a82ff46f,487.0,17,1,0.268,True,True
82,07ae4cca3f90a49347ccb5c1a82ff46f,487.0,20,1,0.413,True,True
83,07ae4cca3f90a49347ccb5c1a82ff46f,487.0,21,1,0.254,True,True
84,07ae4cca3f90a49347ccb5c1a82ff46f,487.0,22,1,0.559,True,True
85,07ae4cca3f90a49347ccb5c1a82ff46f,487.0,24,2,0.65,True,True
86,07ae4cca3f90a49347ccb5c1a82ff46f,487.0,25,1,0.545,True,True
87,07ae4cca3f90a49347ccb5c1a82ff46f,487.0,28,1,0.538,True,True
88,07ae4cca3f90a49347ccb5c1a82ff46f,487.0,100,1,0.667,True,True
89,07ae4cca3f90a49347ccb5c1a82ff46f,487.0,101,1,0.692,False,False
90,07ae4cca3f90a49347ccb5c1a82ff46f,487.0,102,1,0.756,True,True
91,07ae4cca3f90a49347ccb5c1a82ff46f,492.0,31,1,0.409,True,True
92,07ae4cca3f90a49347ccb5c1a82ff46f,492.0,32,1,0.586,True,True
93,07ae4cca3f90a49347ccb5c1a82ff46f,492.0,33,1,0.552,True,True
94,07ae4cca3f90a49347ccb5c1a82ff46f,492.0,34,2,0.563,True,True
95,07ae4cca3f90a49347ccb5c1a82ff46f,492.0,36,1,0.515,True,True
96,07ae4cca3f90a49347ccb5c1a82ff46f,492.0,37,1,0.528,True,True
97,07ae4cca3f90a49347ccb5c1a82ff46f,492.0,38,1,0.591,True,True
98,07ae4cca3f90a49347ccb5c1a82ff46f,492.0,39,1,0.478,True,True
99,07ae4cca3f90a49347ccb5c1a82ff46f,492.0,40,1,0.657,True,True
100,07ae4cca3f90a49347ccb5c1a82ff46f,492.0,128,1,0.509,True,True
101,07d34e2419c61216a85a2156b2cf8ae4,439.0,1,1,0.358,True,True
102,07d34e2419c61216a85a2156b2cf8ae4,439.0,3,1,0.404,True,True
103,07d34e2419c61216a85a2156b2cf8ae4,439.0,5,1,0.412,True,True
104,07d34e2419c61216a85a2156b2cf8ae4,439.0,12,1,0.326,True,True
105,07d34e2419c61216a85a2156b2cf8ae4,439.0,13,1,0.794,True,True
106,07d34e2419c61216a85a2156b2cf8ae4,439.0,232,1,0.688,True,True
107,07d34e2419c61216a85a2156b2cf8ae4,439.0,233,1,0.425,True,True
108,07d34e2419c61216a85a2156b2cf8ae4,439.0,234,1,0.524,True,True
109,07d34e2419c61216a85a2156b2cf8ae4,439.0,235,1,0.379,True,True
110,07d34e2419c61216a85a2156b2cf8ae4,439.0,236,1,0.518,True,True
111,07d34e2419c61216a85a2156b2cf8ae4,487.0,17,4,0.268,True,False
112,07d34e2419c61216a85a2156b2cf8ae4,487.0,20,12,0.413,True,False
113,07d34e2419c61216a85a2156b2cf8ae4,487.0,21,6,0.254,True,False
114,07d34e2419c61216a85a2156b2cf8ae4,487.0,22,4,0.559,True,True
115,07d34e2419c61216a85a2156b2cf8ae4,487.0,24,7,0.65,True,True
116,07d34e2419c61216a85a2156b2cf8ae4,487.0,25,6,0.545,True,True
117,07d34e2419c61216a85a2156b2cf8ae4,487.0,28,2,0.538,True,True
118,07d34e2419c61216a85a2156b2cf8ae4,487.0,100,1,0.667,True,True
119,07d34e2419c61216a85a2156b2cf8ae4,487.0,101,1,0.692,True,True
120,07d34e2419c61216a85a2156b2cf8ae4,487.0,102,2,0.756,True,True
121,07d34e2419c61216a85a2156b2cf8ae4,492.0,31,1,0.409,True,True
122,07d34e2419c61216a85a2156b2cf8ae4,492.0,32,1,0.586,True,True
123,07d34e2419c61216a85a2156b2cf8ae4,492.0,33,1,0.552,True,True
124,07d34e2419c61216a85a2156b2cf8ae4,492.0,34,1,0.563,True,True
125,07d34e2419c61216a85a2156b2cf8ae4,492.0,36,6,0.515,True,False
126,07d34e2419c61216a85a2156b2cf8ae4,492.0,37,3,0.528,True,True
127,07d34e2419c61216a85a2156b2cf8ae4,492.0,38,1,0.591,True,True
128,07d34e2419c61216a85a2156b2cf8ae4,492.0,39,5,0.478,True,True
129,07d34e2419c61216a85a2156b2cf8ae4,492.0,40,1,0.657,True,True
130,07d34e2419c61216a85a2156b2cf8ae4,492.0,128,3,0.509,True,True
131,08fcb5ead4e963a6f0bbdbc971f4a3ee,439.0,1,1,0.358,True,True
132,08fcb5ead4e963a6f0bbdbc971f4a3ee,439.0,3,1,0.404,True,True
133,08fcb5ead4e963a6f0bbdbc971f4a3ee,439.0,5,4,0.412,True,True
134,08fcb5ead4e963a6f0bbdbc971f4a3ee,439.0,12,2,0.326,True,True
135,08fcb5ead4e963a6f0bbdbc971f4a3ee,439.0,13,11,0.794,True,True
136,08fcb5ead4e963a6f0bbdbc971f4a3ee,439.0,232,4,0.688,True,True
137,08fcb5ead4e963a6f0bbdbc971f4a3ee,439.0,233,1,0.425,True,True
138,08fcb5ead4e963a6f0bbdbc971f4a3ee,439.0,234,4,0.524,True,True
139,08fcb5ead4e963a6f0bbdbc971f4a3ee,439.0,235,6,0.379,True,False
140,08fcb5ead4e963a6f0bbdbc971f4a3ee,439.0,236,2,0.518,False,False
141,08fcb5ead4e963a6f0bbdbc971f4a3ee,487.0,17,1,0.268,True,True
142,08fcb5ead4e963a6f0bbdbc971f4a3ee,487.0,20,5,0.413,True,False
143,08fcb5ead4e963a6f0bbdbc971f4a3ee,487.0,21,4,0.254,True,False
144,08fcb5ead4e963a6f0bbdbc971f4a3ee,487.0,22,4,0.559,True,True
145,08fcb5ead4e963a6f0bbdbc971f4a3ee,487.0,24,5,0.65,True,True
146,08fcb5ead4e963a6f0bbdbc971f4a3ee,487.0,25,10,0.545,False,False
147,08fcb5ead4e963a6f0bbdbc971f4a3ee,487.0,28,10,0.538,True,False
148,08fcb5ead4e963a6f0bbdbc971f4a3ee,487.0,100,3,0.667,True,True
149,08fcb5ead4e963a6f0bbdbc971f4a3ee,487.0,101,15,0.692,False,False
150,08fcb5ead4e963a6f0bbdbc971f4a3ee,487.0,102,8,0.756,False,False
151,08fcb5ead4e963a6f0bbdbc971f4a3ee,492.0,31,22,0.409,True,False
152,08fcb5ead4e963a6f0bbdbc971f4a3ee,492.0,33,5,0.552,True,True
153,08fcb5ead4e963a6f0bbdbc971f4a3ee,492.0,34,6,0.563,False,False
154,08fcb5ead4e963a6f0bbdbc971f4a3ee,492.0,36,6,0.515,False,False
155,08fcb5ead4e963a6f0bbdbc971f4a3ee,492.0,37,1,0.528,True,True
156,08fcb5ead4e963a6f0bbdbc971f4a3ee,492.0,38,14,0.591,False,False
157,08fcb5ead4e963a6f0bbdbc971f4a3ee,492.0,39,19,0.478,True,False
158,08fcb5ead4e963a6f0bbdbc971f4a3ee,492.0,40,9,0.657,False,False
159,08fcb5ead4e963a6f0bbdbc971f4a3ee,492.0,128,9,0.509,False,False
160,0a7ff96e4fa7c92a13ccab013d580930,439.0,1,2,0.358,True,True
161,0a7ff96e4fa7c92a13ccab013d580930,439.0,3,13,0.404,True,False
162,0a7ff96e4fa7c92a13ccab013d580930,439.0,5,4,0.412,True,True
163,0a7ff96e4fa7c92a13ccab013d580930,439.0,12,1,0.326,True,True
164,0a7ff96e4fa7c92a13ccab013d580930,439.0,13,12,0.794,True,False
165,0a7ff96e4fa7c92a13ccab013d580930,439.0,232,1,0.688,True,True
166,0a7ff96e4fa7c92a13ccab013d580930,439.0,233,2,0.425,True,True
167,0a7ff96e4fa7c92a13ccab013d580930,439.0,234,6,0.524,True,False
168,0a7ff96e4fa7c92a13ccab013d580930,439.0,235,1,0.379,True,True
169,0a7ff96e4fa7c92a13ccab013d580930,439.0,236,2,0.518,True,True
170,0a7ff96e4fa7c92a13ccab013d580930,487.0,17,1,0.268,True,True
171,0a7ff96e4fa7c92a13ccab013d580930,487.0,20,1,0.413,True,True
172,0a7ff96e4fa7c92a13ccab013d580930,487.0,21,1,0.254,True,True
173,0a7ff96e4fa7c92a13ccab013d580930,487.0,22,1,0.559,True,True
174,0a7ff96e4fa7c92a13ccab013d580930,487.0,24,3,0.65,True,True
175,0a7ff96e4fa7c92a13ccab013d580930,487.0,25,1,0.545,True,True
176,0a7ff96e4fa7c92a13ccab013d580930,487.0,28,1,0.538,True,True
177,0a7ff96e4fa7c92a13ccab013d580930,487.0,100,4,0.667,True,True
178,0a7ff96e4fa7c92a13ccab013d580930,487.0,101,2,0.692,False,False
179,0a7ff96e4fa7c92a13ccab013d580930,487.0,102,1,0.756,True,True
180,0a7ff96e4fa7c92a13ccab013d580930,492.0,31,1,0.409,True,True
181,0a7ff96e4fa7c92a13ccab013d580930,492.0,32,2,0.586,True,True
182,0a7ff96e4fa7c92a13ccab013d580930,492.0,33,1,0.552,True,True
183,0a7ff96e4fa7c92a13ccab013d580930,492.0,34,1,0.563,True,True
184,0a7ff96e4fa7c92a13ccab013d580930,492.0,36,1,0.515,True,True
185,0a7ff96e4fa7c92a13ccab013d580930,492.0,37,1,0.528,True,True
186,0a7ff96e4fa7c92a13ccab013d580930,492.0,38,1,0.591,True,True
187,0a7ff96e4fa7c92a13ccab013d580930,492.0,39,1,0.478,True,True
188,0a7ff96e4fa7c92a13ccab013d580930,492.0,40,1,0.657,True,True
189,0a7ff96e4fa7c92a13ccab013d580930,492.0,128,2,0.509,True,True
190,0aaf61723a352ba7ea1be4502df85765,439.0,1,3,0.358,True,False
191,0aaf61723a352ba7ea1be4502df85765,439.0,3,8,0.404,True,False
192,0aaf61723a352ba7ea1be4502df85765,439.0,5,1,0.412,True,True
193,0aaf61723a352ba7ea1be4502df85765,439.0,12,6,0.326,True,False
194,0aaf61723a352ba7ea1be4502df85765,439.0,13,31,0.794,True,False
195,0aaf61723a352ba7ea1be4502df85765,439.0,232,15,0.688,True,False
196,0aaf61723a352ba7ea1be4502df85765,439.0,233,1,0.425,True,True
197,0aaf61723a352ba7ea1be4502df85765,439.0,234,2,0.524,True,True
198,0aaf61723a352ba7ea1be4502df85765,439.0,235,6,0.379,True,False
199,0aaf61723a352ba7ea1be4502df85765,439.0,236,2,0.518,True,True
200,0aaf61723a352ba7ea1be4502df85765,487.0,17,5,0.268,True,False
201,0aaf61723a352ba7ea1be4502df85765,487.0,20,6,0.413,True,False
202,0aaf61723a352ba7ea1be4502df85765,487.0,21,4,0.254,True,False
203,0aaf61723a352ba7ea1be4502df85765,487.0,22,25,0.559,True,False
204,0aaf61723a352ba7ea1be4502df85765,487.0,24,6,0.65,True,True
205,0aaf61723a352ba7ea1be4502df85765,487.0,25,3,0.545,True,True
206,0aaf61723a352ba7ea1be4502df85765,487.0,28,10,0.538,True,False
207,0aaf61723a352ba7ea1be4502df85765,487.0,100,2,0.667,True,True
208,0aaf61723a352ba7ea1be4502df85765,487.0,101,7,0.692,True,True
209,0aaf61723a352ba7ea1be4502df85765,487.0,102,40,0.756,False,False
210,0aaf61723a352ba7ea1be4502df85765,492.0,31,2,0.409,True,True
211,0aaf61723a352ba7ea1be4502df85765,492.0,32,3,0.586,True,True
212,0aaf61723a352ba7ea1be4502df85765,492.0,33,4,0.552,False,False
213,0aaf61723a352ba7ea1be4502df85765,492.0,34,6,0.563,False,False
214,0aaf61723a352ba7ea1be4502df85765,492.0,36,4,0.515,True,True
215,0aaf61723a352ba7ea1be4502df85765,492.0,37,17,0.528,True,False
216,0aaf61723a352ba7ea1be4502df85765,492.0,38,2,0.591,False,False
217,0aaf61723a352ba7ea1be4502df85765,492.0,39,8,0.478,True,False
218,0aaf61723a352ba7ea1be4502df85765,492.0,40,27,0.657,False,False
219,0aaf61723a352ba7ea1be4502df85765,492.0,128,3,0.509,True,True
220,0ae12dc3676bc09a35fe6ed96926a6b5,439.0,1,1,0.358,True,True
221,0ae12dc3676bc09a35fe6ed96926a6b5,439.0,3,2,0.404,True,True
222,0ae12dc3676bc09a35fe6ed96926a6b5,439.0,5,1,0.412,True,True
223,0ae12dc3676bc09a35fe6ed96926a6b5,439.0,12,1,0.326,True,True
224,0ae12dc3676bc09a35fe6ed96926a6b5,439.0,13,1,0.794,True,True
225,0ae12dc3676bc09a35fe6ed96926a6b5,439.0,232,1,0.688,True,True
226,0ae12dc3676bc09a35fe6ed96926a6b5,439.0,233,1,0.425,True,True
227,0ae12dc3676bc09a35fe6ed96926a6b5,439.0,234,4,0.524,True,True
228,0ae12dc3676bc09a35fe6ed96926a6b5,439.0,235,1,0.379,True,True
229,0ae12dc3676bc09a35fe6ed96926a6b5,439.0,236,1,0.518,True,True
230,0ae12dc3676bc09a35fe6ed96926a6b5,487.0,17,1,0.268,True,True
231,0ae12dc3676bc09a35fe6ed96926a6b5,487.0,20,4,0.413,True,True
232,0ae12dc3676bc09a35fe6ed96926a6b5,487.0,21,1,0.254,True,True
233,0ae12dc3676bc09a35fe6ed96926a6b5,487.0,22,3,0.559,True,True
234,0ae12dc3676bc09a35fe6ed96926a6b5,487.0,24,13,0.65,True,False
235,0ae12dc3676bc09a35fe6ed96926a6b5,487.0,25,3,0.545,True,True
236,0ae12dc3676bc09a35fe6ed96926a6b5,487.0,28,1,0.538,True,True
237,0ae12dc3676bc09a35fe6ed96926a6b5,487.0,100,2,0.667,True,True
238,0ae12dc3676bc09a35fe6ed96926a6b5,487.0,101,3,0.692,True,True
239,0ae12dc3676bc09a35fe6ed96926a6b5,487.0,102,2,0.756,True,True
240,0ae12dc3676bc09a35fe6ed96926a6b5,492.0,31,1,0.409,True,True
241,0ae12dc3676bc09a35fe6ed96926a6b5,492.0,32,1,0.586,True,True
242,0ae12dc3676bc09a35fe6ed96926a6b5,492.0,33,5,0.552,True,True
243,0ae12dc3676bc09a35fe6ed96926a6b5,492.0,34,2,0.563,True,True
244,0ae12dc3676bc09a35fe6ed96926a6b5,492.0,36,2,0.515,True,True
245,0ae12dc3676bc09a35fe6ed96926a6b5,492.0,37,2,0.528,True,True
246,0ae12dc3676bc09a35fe6ed96926a6b5,492.0,38,1,0.591,True,True
247,0ae12dc3676bc09a35fe6ed96926a6b5,492.0,39,1,0.478,True,True
248,0ae12dc3676bc09a35fe6ed96926a6b5,492.0,40,1,0.657,True,True
249,0ae12dc3676bc09a35fe6ed96926a6b5,492.0,128,1,0.509,True,True
250,0bbeaf0242180c8abffb2b8dada5a9e4,439.0,1,2,0.358,True,True
251,0bbeaf0242180c8abffb2b8dada5a9e4,439.0,3,1,0.404,True,True
252,0bbeaf0242180c8abffb2b8dada5a9e4,439.0,5,3,0.412,True,True
253,0bbeaf0242180c8abffb2b8dada5a9e4,439.0,12,1,0.326,True,True
254,0bbeaf0242180c8abffb2b8dada5a9e4,439.0,13,19,0.794,False,False
255,0bbeaf0242180c8abffb2b8dada5a9e4,439.0,232,1,0.688,True,True
256,0bbeaf0242180c8abffb2b8dada5a9e4,439.0,233,2,0.425,True,True
257,0bbeaf0242180c8abffb2b8dada5a9e4,439.0,234,3,0.524,True,True
258,0bbeaf0242180c8abffb2b8dada5a9e4,439.0,235,1,0.379,False,False
259,0bbeaf0242180c8abffb2b8dada5a9e4,439.0,236,7,0.518,True,False
260,0bbeaf0242180c8abffb2b8dada5a9e4,492.0,31,5,0.409,True,False
261,0bbeaf0242180c8abffb2b8dada5a9e4,492.0,32,6,0.586,False,False
262,0bbeaf0242180c8abffb2b8dada5a9e4,492.0,33,7,0.552,True,False
263,0bbeaf0242180c8abffb2b8dada5a9e4,492.0,34,3,0.563,False,False
264,0bbeaf0242180c8abffb2b8dada5a9e4,492.0,36,2,0.515,True,True
265,0bbeaf0242180c8abffb2b8dada5a9e4,492.0,37,5,0.528,True,True
266,0bbeaf0242180c8abffb2b8dada5a9e4,492.0,38,18,0.591,True,False
267,0bbeaf0242180c8abffb2b8dada5a9e4,492.0,39,1,0.478,False,False
268,0bbeaf0242180c8abffb2b8dada5a9e4,492.0,40,10,0.657,True,False
269,0bbeaf0242180c8abffb2b8dada5a9e4,492.0,128,4,0.509,True,True
270,0e2cb039638d9ab503d33105ed343d7e,439.0,1,3,0.358,True,False
271,0e2cb039638d9ab503d33105ed343d7e,439.0,3,4,0.404,True,True
272,0e2cb039638d9ab503d33105ed343d7e,439.0,5,1,0.412,True,True
273,0e2cb039638d9ab503d33105ed343d7e,439.0,12,1,0.326,True,True
274,0e2cb039638d9ab503d33105ed343d7e,439.0,13,14,0.794,True,False
275,0e2cb039638d9ab503d33105ed343d7e,439.0,232,2,0.688,True,True
276,0e2cb039638d9ab503d33105ed343d7e,439.0,233,1,0.425,True,True
277,0e2cb039638d9ab503d33105ed343d7e,439.0,234,3,0.524,True,True
278,0e2cb039638d9ab503d33105ed343d7e,439.0,235,1,0.379,True,True
279,0e2cb039638d9ab503d33105ed343d7e,439.0,236,9,0.518,True,False
280,0e2cb039638d9ab503d33105ed343d7e,487.0,17,1,0.268,True,True
281,0e2cb039638d9ab503d33105ed343d7e,487.0,20,1,0.413,True,True
282,0e2cb039638d9ab503d33105ed343d7e,487.0,21,1,0.254,True,True
283,0e2cb039638d9ab503d33105ed343d7e,487.0,22,4,0.559,True,True
284,0e2cb039638d9ab503d33105ed343d7e,487.0,24,9,0.65,True,False
285,0e2cb039638d9ab503d33105ed343d7e,487.0,25,1,0.545,True,True
286,0e2cb039638d9ab503d33105ed343d7e,487.0,28,2,0.538,True,True
287,0e2cb039638d9ab503d33105ed343d7e,487.0,100,8,0.667,True,False
288,0e2cb039638d9ab503d33105ed343d7e,487.0,101,12,0.692,True,False
289,0e2cb039638d9ab503d33105ed343d7e,487.0,102,4,0.756,True,True
290,0e2cb039638d9ab503d33105ed343d7e,492.0,31,2,0.409,True,True
291,0e2cb039638d9ab503d33105ed343d7e,492.0,32,7,0.586,True,True
292,0e2cb039638d9ab503d33105ed343d7e,492.0,33,13,0.552,True,False
293,0e2cb039638d9ab503d33105ed343d7e,492.0,34,3,0.563,True,True
294,0e2cb039638d9ab503d33105ed343d7e,492.0,36,2,0.515,True,True
295,0e2cb039638d9ab503d33105ed343d7e,492.0,37,21,0.528,True,False
296,0e2cb039638d9ab503d33105ed343d7e,492.0,38,3,0.591,True,True
297,0e2cb039638d9ab503d33105ed343d7e,492.0,39,16,0.478,True,False
298,0e2cb039638d9ab503d33105ed343d7e,492.0,40,33,0.657,True,False
299,0e2cb039638d9ab503d33105ed343d7e,492.0,128,6,0.509,True,True
300,0ee7e71061cf860ccf3b29c6823c7971,439.0,1,1,0.358,True,True
301,0ee7e71061cf860ccf3b29c6823c7971,439.0,3,3,0.404,True,True
302,0ee7e71061cf860ccf3b29c6823c7971,439.0,5,2,0.412,True,True
303,0ee7e71061cf860ccf3b29c6823c7971,439.0,12,1,0.326,True,True
304,0ee7e71061cf860ccf3b29c6823c7971,439.0,13,1,0.794,True,True
305,0ee7e71061cf860ccf3b29c6823c7971,439.0,232,4,0.688,True,True
306,0ee7e71061cf860ccf3b29c6823c7971,439.0,233,2,0.425,True,True
307,0ee7e71061cf860ccf3b29c6823c7971,439.0,234,3,0.524,True,True
308,0ee7e71061cf860ccf3b29c6823c7971,439.0,235,1,0.379,True,True
309,0ee7e71061cf860ccf3b29c6823c7971,439.0,236,3,0.518,True,True
310,0ee7e71061cf860ccf3b29c6823c7971,492.0,31,3,0.409,True,True
311,0ee7e71061cf860ccf3b29c6823c7971,492.0,32,37,0.586,True,False
312,0ee7e71061cf860ccf3b29c6823c7971,492.0,33,14,0.552,True,False
313,0ee7e71061cf860ccf3b29c6823c7971,492.0,34,16,0.563,True,False
314,0ee7e71061cf860ccf3b29c6823c7971,492.0,36,18,0.515,True,False
315,0ee7e71061cf860ccf3b29c6823c7971,492.0,37,9,0.528,False,False
316,0ee7e71061cf860ccf3b29c6823c7971,492.0,38,7,0.591,True,True
317,0ee7e71061cf860ccf3b29c6823c7971,492.0,39,4,0.478,True,True
318,0ee7e71061cf860ccf3b29c6823c7971,492.0,40,6,0.657,True,True
319,0ee7e71061cf860ccf3b29c6823c7971,492.0,128,11,0.509,True,False
320,115c51eb37365df2d4f4e2482b964822,439.0,1,1,0.358,True,True
321,115c51eb37365df2d4f4e2482b964822,439.0,3,1,0.404,True,True
322,115c51eb37365df2d4f4e2482b964822,439.0,5,1,0.412,True,True
323,115c51eb37365df2d4f4e2482b964822,439.0,12,1,0.326,True,True
324,115c51eb37365df2d4f4e2482b964822,439.0,13,1,0.794,True,True
325,115c51eb37365df2d4f4e2482b964822,439.0,232,2,0.688,True,True
326,115c51eb37365df2d4f4e2482b964822,439.0,233,1,0.425,True,True
327,115c51eb37365df2d4f4e2482b964822,439.0,234,1,0.524,True,True
328,115c51eb37365df2d4f4e2482b964822,439.0,235,1,0.379,True,True
329,115c51eb37365df2d4f4e2482b964822,439.0,236,1,0.518,True,True
330,115c51eb37365df2d4f4e2482b964822,487.0,17,1,0.268,True,True
331,115c51eb37365df2d4f4e2482b964822,487.0,20,1,0.413,True,True
332,115c51eb37365df2d4f4e2482b964822,487.0,21,1,0.254,True,True
333,115c51eb37365df2d4f4e2482b964822,487.0,24,1,0.65,True,True
334,115c51eb37365df2d4f4e2482b964822,487.0,25,1,0.545,True,True
335,115c51eb37365df2d4f4e2482b964822,487.0,28,1,0.538,True,True
336,115c51eb37365df2d4f4e2482b964822,487.0,100,1,0.667,True,True
